id	region	municipality	settlement	type	latitude_dd	longitude_dd
149339	Московская область	Солнечногорский	Солнечногорск	г	56.18527778	36.97861111
140155	Амурская область	Свободный	Свободный	г	51.37583333	128.1341667
144697	Воронежская область	Лискинский район	Лиски	г	50.98694444	39.49777778
3048	Пермский край	Краснокамский район	Краснокамск	г	58.07833333	55.73638889
39915	Чеченская республика	Гудермесский муниципальный район	Гудермес	г	43.35194444	46.10361111
118777	Чеченская республика	Шалинский муниципальный район	Шали	г	43.14888889	45.90111111
37739	Республика Марий Эл	Город Волжск	Волжск	г	55.86222222	48.37138889
49031	Нижегородская область	Выкса	Выкса	г	55.32055556	42.16805556
66839	Смоленская область	Рославльский район	Рославль	г	53.94722222	32.85666667
119283	Московская область	Лыткарино	Лыткарино	г	55.57777778	37.90333333
113289	Краснодарский край	Тимашёвский район	Тимашевск	г	45.61861111	38.94555556
9757	Тульская область	Город Ефремов	Ефремов	г	53.14194444	38.11666667
95041	Московская область	Фрязино	Фрязино	г	55.95805556	38.05222222
97954	Владимирская область	Город Гусь-Хрустальный	Гусь-Хрустальный	г	55.61972222	40.65777778
126282	Саратовская область	Вольский район	Вольск	г	52.04583333	47.38722222
153820	Московская область	Подольск	Климовск	г	55.375	37.53888889
76198	Новосибирская область	Искитим	Искитим	г	54.6425	83.30638889
76582	Свердловская область	Берёзовский городской округ	Березовский	г	56.90972222	60.81805556
129415	Мурманская область	Городской округ город Апатиты с подведомственной территорией	Апатиты	г	67.56777778	33.40666667
43049	Московская область	Ленинский	Видное	г	55.55722222	37.70861111
51258	Смоленская область	Вяземский район	Вязьма	г	55.20583333	34.29805556
3794	Республика Саха (Якутия)	Нерюнгринский	Нерюнгри	г	56.66111111	124.7188889
91480	Нижегородская область	Павловский район	Павлово	г	55.96472222	43.06444444
10441	Тульская область	Щёкинский район	Щекино	г	54.00222222	37.5175
59280	Приморский край	Артёмовский	Артем	г	43.36222222	132.1813889
58825	Краснодарский край	Крымский район	Крымск	г	44.93444444	37.98555556
115701	Кабардино-Балкарская республика	Прохладный	Прохладный	г	43.75888889	44.01027778
22681	Нижегородская область	Бор	Бор	г	56.35638889	44.06444444
112576	Республика Башкортостан	Мелеузовский	Мелеуз	г	52.95888889	55.92833333
12091	Ленинградская область	Тихвинский муниципальный район	Тихвин	г	59.64416667	33.54222222
15215	Волгоградская область	Город Михайловка	Михайловка	г	50.07083333	43.24
55304	Московская область	Ивантеевка	Ивантеевка	г	55.97	37.9175
34916	Краснодарский край	Тихорецкий район	Тихорецк	г	45.85472222	40.12583333
31823	Ростовская область	Сальский	Сальск	г	46.47527778	41.54111111
96085	Республика Дагестан	Избербаш	Избербаш	г	42.56527778	47.87111111
63246	Ивановская область	Шуйский район	Шуя	г	56.85194444	41.38555556
70664	Республика Коми	ГО Воркута	Воркута	г	67.4975	64.06083333
55620	Республика Башкортостан	Белебеевский	Белебей	г	54.10333333	54.11111111
26718	Владимирская область	Александровский	Александров	г	56.39777778	38.7275
110758	Тверская область	Город Ржев	Ржев	г	56.26277778	34.32916667
137521	Краснодарский край	Лабинский район	Лабинск	г	44.63527778	40.72444444
116434	Республика Башкортостан	Кумертау	Кумертау	г	52.75666667	55.79694444
18939	Республика Крым	Белогорский район	Белогорск	г	45.05722222	34.6
155427	Московская область	Чеховский	Чехов	г	55.14972222	37.46694444
116457	Воронежская область	Борисоглебский район	Борисоглебск	г	51.36777778	42.075
18223	Кемеровская область	Беловский	Белово	г	54.42222222	86.30361111
60725	Красноярский край	Лесосибирск	Лесосибирск	г	58.22166667	92.50361111
32514	Чеченская республика	Урус-Мартановский муниципальный район	Урус-Мартан	г	43.1275	45.54055556
126058	Московская область	Дмитровский	Дмитров	г	56.345	37.51833333
21646	Республика Татарстан	Чистопольский район	Чистополь	г	55.37222222	50.64361111
30913	Архангельская область	Котлас	Котлас	г	61.25222222	46.6475
149694	Краснодарский край	Туапсинский район	Туапсе	г	44.09861111	39.07194444
138412	Республика Башкортостан	Сибай	Сибай	г	52.72055556	58.66638889
117202	Свердловская область	городской округ Ревда	Ревда	г	56.8	59.90861111
152077	Ханты-Мансийский автономный округ - Югра	Нягань	Нягань	г	62.14555556	65.39444444
138452	Пермский край	Лысьва	Лысьва	г	58.10027778	57.80916667
93510	Воронежская область	Россошанский район	Россошь	г	50.19277778	39.57638889
48900	Брянская область	Город Клинцы	Клинцы	г	52.75277778	32.23388889
31952	Тульская область	Город Донской	Донской	г	53.96777778	38.33722222
32316	Краснодарский край	Славянский район	Славянск-на-Кубани	г	45.26055556	38.12611111
117032	Ставропольский край	Будённовский район	Буденновск	г	44.78166667	44.165
46063	Московская область	Павлово-Посадский	Павловский Посад	г	55.77944444	38.65138889
140021	Республика Алтай	Горно-Алтайск	Горно-Алтайск	г	51.95805556	85.96027778
143388	Московская область	Наро-Фоминский	Наро-Фоминск	г	55.38611111	36.73444444
34737	Республика Дагестан	Буйнакск	Буйнакск	г	42.82138889	47.11638889
115459	Пензенская область	Заречный	Заречный	г	53.19611111	45.16916667
10648	Свердловская область	Асбестовский городской округ	Асбест	г	57.02694444	61.45944444
47845	Свердловская область	городской округ Краснотурьинск	Краснотурьинск	г	59.75583333	60.20611111
75590	Республика Башкортостан	Белорецкий	Белорецк	г	53.9675	58.41
7363	Амурская область	Белогорск	Белогорск	г	50.92138889	128.4738889
118611	Пермский край	Кунгур	Кунгур	г	57.42833333	56.94388889
32525	Ростовская область	Город Гуково	Гуково	г	48.05833333	39.94027778
45188	Московская область	Ступинский	Ступино	г	54.88694444	38.07722222
136773	Ханты-Мансийский автономный округ - Югра	Когалым	Когалым	г	62.26388889	74.48277778
72982	Тульская область	Город Алексин	Алексин	г	54.50277778	37.06666667
150388	Нижегородская область	Кстовский район	Кстово	г	56.15055556	44.20666667
22264	Республика Башкортостан	Туймазинский	Туймазы	г	54.6	53.695
95965	Республика Крым	Джанкойский район	Джанкой	г	45.70916667	34.38833333
90212	Тюменская область	Ишим	Ишим	г	56.11083333	69.47333333
24426	Свердловская область	Полевской городской округ	Полевской	г	56.49583333	60.23666667
87984	Московская область	Егорьевский	Егорьевск	г	55.38305556	39.03583333
70290	Самарская область	Чапаевск	Чапаевск	г	52.97888889	49.71361111
126287	Московская область	Дубна	Дубна	г	56.74388889	37.17305556
144258	Ставропольский край	Георгиевск	Георгиевск	г	44.14861111	43.47388889
147712	Красноярский край	Минусинск	Минусинск	г	53.71055556	91.68722222
84766	Свердловская область	городской округ Верхняя Пышма	Верхняя Пышма	г	56.97583333	60.565
151456	Республика Татарстан	Елабужский район	Елабуга	г	55.75666667	52.05444444
25619	Алтайский край	Новоалтайск	Новоалтайск	г	53.41194444	83.93111111
1681	Московская область	Лобня	Лобня	г	56.01194444	37.475
119937	Ленинградская область	Всеволожский муниципальный район	Всеволожск	г	60.01916667	30.64555556
37589	Еврейская автономная область	Биробиджан	Биробиджан	г	48.79472222	132.9216667
150343	Республика Ингушетия	Назрань	Назрань	г	43.22555556	44.77111111
116094	Кемеровская область	Анжеро-Судженский	Анжеро-Судженск	г	56.08305556	86.01833333
129827	Санкт-Петербург	Курортный	Санкт-Петербург	г	59.93916667	30.31583333
139951	Республика Хакасия	Черногорск	Черногорск	г	53.82694444	91.30611111
50474	Челябинская область	Троицкий	Троицк	г	54.08333333	61.55972222
2656	Курганская область	Шадринск	Шадринск	г	56.08694444	63.62972222
114997	Ставропольский край	Минераловодский городской округ	Минеральные Воды	г	44.20888889	43.13833333
95379	Иркутская область	Усолье-Сибирское	Усолье-Сибирское	г	52.75666667	103.6388889
112089	Краснодарский край	Город-курорт Геленджик	Геленджик	г	44.56305556	38.07916667
58483	Краснодарский край	Кавказский район	Кропоткин	г	45.43472222	40.57611111
115626	Челябинская область	Озёрский	Озерск	г	55.76305556	60.7075
138300	Саратовская область	Балашовский район	Балашов	г	51.55472222	43.14638889
95756	Ленинградская область	Выборгский муниципальный район	Выборг	г	60.71444444	28.75722222
56111	Московская область	Клинский	Клин	г	56.33166667	36.72861111
12917	Пензенская область	Кузнецк	Кузнецк	г	53.1125	46.60083333
153927	Кемеровская область	Юргинский	Юрга	г	55.71361111	84.93388889
94499	Иркутская область	Усть-Илимск	Усть-Илимск	г	57.94305556	102.7413889
11217	Ростовская область	Город Азов	Азов	г	47.11222222	39.42333333
24994	Краснодарский край	Город-курорт Анапа	Анапа	г	44.895	37.31638889
9566	Ставропольский край	Шпаковский район	Михайловск	г	45.12972222	42.02888889
61632	Краснодарский край	Ейский район	Ейск	г	46.71055556	38.27777778
53290	Оренбургская область	Новотроицк	Новотроицк	г	51.19638889	58.30166667
11803	Пермский край	Чайковский городской округ	Чайковский	г	56.77805556	54.14777778
86727	Пермский край	Чайковский район	Чайковский	г	56.77805556	54.14777778
66479	Ивановская область	Кинешемский район	Кинешма	г	57.4425	42.16888889
148582	Республика Татарстан	Лениногорский район	Лениногорск	г	54.59666667	52.44333333
132620	Республика Татарстан	Бугульминский район	Бугульма	г	54.53638889	52.78944444
48339	Оренбургская область	Бузулук	Бузулук	г	52.78805556	52.2625
42857	Республика Крым	Ялта	Ялта	г	44.49527778	34.16638889
55222	Белгородская область	Губкинский городской округ	Губкин	г	51.28361111	37.53472222
67634	Республика Башкортостан	Ишимбайский	Ишимбай	г	53.41805556	56.04
18368	Московская область	Реутов	Реутов	г	55.76055556	37.85527778
147413	Свердловская область	Новоуральский городской округ	Новоуральск	г	57.24722222	60.09555556
93463	Кемеровская область	Киселёвский	Киселевск	г	54.00611111	86.63666667
131670	Ростовская область	Город Каменск-Шахтинский	Каменск-Шахтинский	г	48.32055556	40.26888889
97037	Московская область	Долгопрудный	Долгопрудный	г	55.93361111	37.51444444
105712	Республика Крым	Бахчисарайский район	Бахчисарай	г	44.75138889	33.875
55415	Московская область	Воскресенский	Воскресенск	г	55.32305556	38.67333333
56880	Тамбовская область	Город Мичуринск	Мичуринск	г	52.89388889	40.49805556
153259	Магаданская область	Магадан	Магадан	г	59.56055556	150.7988889
67405	Удмуртская республика	Глазов	Глазов	г	58.14	52.64638889
96143	Ленинградская область	Гатчинский муниципальный район	Гатчина	г	59.56527778	30.12805556
120172	Красноярский край	Канск	Канск	г	56.205	95.705
121926	Нижегородская область	Саров	Саров	г	54.92277778	43.34472222
88535	Пермский край	Соликамск	Соликамск	г	59.64833333	56.77111111
100354	Кемеровская область	Ленинск-Кузнецкий	Ленинск-Кузнецкий	г	54.66361111	86.16222222
47661	Псковская область	городской округ Великие Луки	Великие Луки	г	56.34277778	30.52333333
52954	Республика Коми	ГО Ухта	Ухта	г	63.5625	53.68388889
82725	Московская область	Домодедово	Домодедово	г	55.43694444	37.7675
99439	Московская область	Раменский	Раменское	г	55.56722222	38.22583333
19169	Удмуртская республика	Сарапул	Сарапул	г	56.47722222	53.81916667
112775	Кемеровская область	Междуреченский	Междуреченск	г	53.68666667	88.07027778
77998	Удмуртская республика	Воткинск	Воткинск	г	57.0525	53.99055556
85769	Республика Дагестан	Хасавюрт	Хасавюрт	г	43.24638889	46.59
75021	Свердловская область	Серовский городской округ	Серов	г	59.60527778	60.57361111
129223	Ханты-Мансийский автономный округ - Югра	Ханты-Мансийск	Ханты-Мансийск	г	61.0025	69.01833333
48860	Московская область	Ногинский	Ногинск	г	55.855	38.44277778
