region_name,region_name_rus,map_region_name,vodka,conyac,whiskey,vine,option_region_name,type,type_eng
СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ РЕСП,Северная Осетия-Алания республика,North Ossetia,19.43,7.27,5.33,3.81,Kuzey Osetya|Respublika Severnaya Osetiya|Severnaya Osetiya-Alaniya|North Ossetian A.S.S.R.|Republic of North Osetia-Alania,Respublika,Republic
СМОЛЕНСКАЯ ОБЛ,Смоленская область,Smolensk,33.94,5.18,1.24,3.46,Smolenskaya Oblast,Oblast,Region
СТАВРОПОЛЬСКИЙ КРАЙ,Ставропольский край,Stavropol',27.89,6.24,1.94,2.97,Stavropol'skiy Kray|Stavropolskiy Kray,Kray,Territory
ТАМБОВСКАЯ ОБЛ,Тамбовская область,Tambov,32.6,4.48,1.41,3.37,Tambovskaya Oblast,Oblast,Region
ТАТАРСТАН РЕСП,Татарстан республика,Tatarstan,51.24,5.32,1.54,2.48,Kazan|Kazanskaya G.|Tatar A.S.S.R.|Tatarskaya A.S.S.R.|Republic of Tatarstan|Respublika Tatars,Respublika,Republic
ТВЕРСКАЯ ОБЛ,Тверская область,Tver',36.62,4.76,1.34,4.39,Kalinin|Kalininskaya|Tverskaya Oblast,Oblast,Region
ТОМСКАЯ ОБЛ,Томская область,Tomsk,32.45,4.29,1.54,4.53,Tomskaya Oblast,Oblast,Region
ТУЛЬСКАЯ ОБЛ,Тульская область,Tula,31.23,5.15,1.6,5.22,Tul'skaya|Tulskaya Oblast,Oblast,Region
ТЫВА РЕСП,Тыва республика,Tuva,49.46,4.83,0.28,1.41,Respublika Tyva|Republic of Tuva|Tyva|Tuvinskaya A.S.S.R.|Republic of Tyva,Respublika,Republic
ТЮМЕНСКАЯ ОБЛ,Тюменская область,Tyumen',35.53,4.86,1.97,6.09,Tobol'sk|Tobol'skaya G.|Tyumenskaya Oblast,Oblast,Region
УДМУРТСКАЯ РЕСП,Удмуртская Республика,Udmurt,50.62,4,0.97,3.68,Udmurtiya|Udmurt Republic|Udmurtskaya A.S.S.R.|Udmurtskaya Respublika,Respublika,Republic
